	place	lon	lat
185	種差海岸階上岳	40.5055226	141.6211258
186	名久井岳	40.3879679	141.3083583
187	蘆野池沼群	40.9134268	140.4515959
188	黑石溫泉鄉	 	 
189	岩木高原	40.63306	140.3285061
190	赤石溪流暗門之瀑布	 	 
191	青森	40.8243077	140.7399984
192	弘前	40.6031243	140.4639223
193	岩手	39.7036194	141.1526839
194	八戶	40.5122839	141.4883986
195	十和田	40.612703	141.2059076
196	陸奧	40.523177	141.527582
197	五所川原	40.80800199999999	140.44009
198	黑石	42.839345	126.508741
199	三澤	40.6831337	141.3689761
200	津輕	41.6323638	140.6910465
201	平川	40.5840107	140.5664783
202	宮城	38.2688373	140.8721
203	仙台	38.268215	140.8693558
204	山形	38.2404355	140.3636333
205	秋田	39.7186135	140.1023643
206	福島	37.7502986	140.4675514
207	-----55旅行社66------	 	 
208	鶯宿溫泉	39.637759	140.924388
209	角館	39.59409369999999	140.5639298
210	武家屋敷	32.6916771	128.8447262
211	青柳家	39.6005343	140.5616909
212	生剝神館	 	 
213	真山傳承會館	 	 
214	男鹿半島	39.915529	139.784545
215	千秋公園	39.72195900000001	140.1237635
216	辰子銅像	 	 
217	銀山溫泉	38.5704041	140.5304678
218	鹽釡神社	38.3189508	141.0126496
219	藏王狐狸村	38.0408293	140.5303604
220	白石川堤	38.0500332	140.7384209
221	青森空港	40.7382794	140.6890971
222	十和田溫泉	40.608376	141.214432
223	奧入瀨溪	40.5260983	140.9742881
224	八甲田山	40.6563169	140.8936755
225	睡魔之家	40.82962029999999	140.7359079
226	帆立小屋	40.8291423	140.7354763
227	立佞武多の館	40.81094299999999	140.443293
228	津輕鐵道	40.964841	140.440961
229	田澤湖	39.7168527	140.6544861
230	小岩井農場	39.7505746	141.0174745
231	十和田美術館	40.6140921	141.2091392
232	三內丸山遺跡	40.8114904	140.6973031
233	仙台空港	38.1397222	140.9169444
234	鶯宿溫泉	39.637759	140.924388
235	花卷溫泉	39.4526775	141.0680344
236	奧陸小京都	 	 
237	角館武家屋敷	39.5981205	140.5620668
238	青柳家	39.6005343	140.5616909
239	秋田內陸	39.74399	140.590289
240	阿仁高原	39.9547746	140.4949347
241	猊鼻溪	38.9877031	141.2612807
242	鹽釡神社	38.3189508	141.0126496
243	青葉城遺跡	38.2520916	140.8559275
244	三井OUTLET	25.0711397	121.3637567
245	秋田空港	39.6119022	140.2198671
246	中尊寺	39.0017355	141.102596
247	金色堂	39.001363	141.099877
248	鹽釡神社	38.3189508	141.0126496
249	仙台一番町	38.2641711	140.8710336
250	藏王高原	38.1089967	140.4646711
251	最上川	38.6061796	140.0997867
252	湯野濱溫泉	38.7802558	139.7589019
253	由利高原	39.230466	140.1387282
