	place	lon	lat
182	妙法院	34.9902985	135.7753273
183	松尾寺	34.6340841	135.728111
184	曼殊院	35.048905	135.802942
185	萬福寺	34.9143064	135.8060418
186	本願寺	35.6664743	139.7723221
187	西本願寺	43.061889	141.327248
188	東本願寺	34.9910052	135.7584791
189	本能寺	35.0102837	135.7683044
190	法然院	35.023985	135.797415
191	方廣寺	34.9921289	135.7720117
192	寶嚴院	35.014788	135.673706
193	法金剛院	35.0191374	135.7159476
194	法住寺	34.9874657	135.7726655
195	佛光寺	38.870333	113.393924
196	法界寺	34.9341551	135.8149132
197	法觀寺	34.9985543	135.7792257
198	平等院	34.8892908	135.8076783
199	成相寺	35.595586	135.187433
200	南禪寺	35.01137870000001	135.7937641
201	仁和寺	35.03109370000001	135.7138198
202	東福寺	34.9765117	135.7742327
203	東寺	34.9811177	135.7475964
204	等持院	35.0315558	135.7234521
205	頂法寺	35.007653	135.760252
206	知恩院	35.0054141	135.7823785
207	智積院	34.9873696	135.7764261
208	大報恩寺	35.0318879	135.7397698
209	大德寺	35.043891	135.74603
210	醍醐寺	34.951024	135.819563
211	大覺寺	40.054459	116.117119
212	禪林寺	35.0142949	135.795399
213	泉涌寺	34.97804	135.7803417
214	清涼寺	35.023498	135.674289
215	隨心院	34.9592762	135.8164132
216	淨瑠璃寺	34.7159375	135.8729239
217	神護寺	35.055025	135.670867
218	青蓮院	35.007312	135.783161
219	相國寺	35.0322212	135.7617219
220	清淨華院	35.0253223	135.7683594
221	實相院	35.0790346	135.781519
222	寂光院	35.1241	135.821045
223	三室戶寺	34.9004788	135.8191935
224	三十三間堂	34.9878845	135.7717126
225	三千院	35.1197018	135.834335
226	六波羅蜜寺	34.9971067	135.7733534
227	西芳寺	34.9919643	135.6833094
228	廣隆寺	35.0155	135.7072898
229	金戒光明寺	35.019655	135.788019
230	高台寺	35.000768	135.781112
231	鞍馬寺	35.1179804	135.770981
232	建仁寺	35.0007297	135.773822
233	光悅寺	35.053412	135.730312
234	高山寺	35.06011910000001	135.6785729
235	興正寺	35.139276	136.962977
236	教王護國寺	34.9811177	135.7475964
237	行願寺	35.0161957	135.7676674
238	清水寺	34.9948561	135.7850463
239	海住山寺	34.776872	135.861795
240	勸修寺	34.9616896	135.8074142
241	穴太寺	35.006628	135.549222
242	廬山寺	35.0246213	135.7682785
243	林昌寺	35.291446	137.064968
244	野中寺	34.5593176	135.5919801
245	葛井寺	34.570194	135.596566
246	南宗寺	34.5690176	135.4685491
247	道明寺	34.5669784	135.6139525
248	長慶寺	34.3665557	135.2865127
249	太融寺	34.701823	135.5041044
250	大聖觀音寺	 	 
251	大聖勝軍寺	34.613576	135.588029
252	大念佛寺	34.627254	135.550501
253	施福寺	34.392891	135.511536
254	四天王寺	34.6533466	135.516491
255	西琳寺	34.553169	135.613225
256	孝恩寺	34.3971199	135.394552
257	觀心寺	34.4373481	135.5985896
258	勝尾寺	34.865862	135.491041
259	西江寺	34.8372747	135.4700679
260	叡福寺	34.5182587	135.6391572
261	本興寺	34.7173634	135.4144253
262	斑鳩寺	34.837071	134.575446
263	中山寺	34.8216966	135.3677172
264	如意寺	35.6099575	134.8893638
265	能福寺	34.667999	135.171394
266	朝光寺	34.932473	135.043869
267	大龍寺	35.737736	139.754619
268	太山寺	34.6963321	135.0672497
269	須磨寺	34.6497464	135.1117864
270	淨土寺	34.8641635	134.9610983
271	清荒神清澄寺	34.822151	135.352589
272	清水寺	34.9948561	135.7850463
273	神呪寺	34.773131	135.329784
274	伽耶院	34.8055653	135.0588377
275	鶴林寺	34.7522857	134.832586
276	溫泉寺	35.505532	138.7601202
277	圓教寺	34.8911316	134.6581391
278	一乘寺	35.044128	135.787383
279	大安寺	34.66801400000001	135.812717
280	靈山寺	34.1594187	134.5029696
281	藥師寺	34.6686468	135.7845667
282	室生寺	34.5365849	136.0395546
283	南法華寺	34.426419	135.8098837
284	寶山寺	34.6845233	135.686659
285	法隆寺	34.6140766	135.7356826
286	法輪寺	35.010249	135.676984
287	法華寺	22.984046	120.20964
288	法起寺	34.6229907	135.7462211
289	不退寺	34.694794	135.812521
290	長谷寺	35.3124645	139.5330634
291	唐招提寺	34.675561	135.7848334
